"","site_id","lat","SCRS"
"1",1,46.8088,6622
"652",10,48.2158,6622
"1223",100,49.83417,6622
"1344",101,49.843,6622
"1460",11,46.8766,6622
"2045",114,48.98747,6622
"2150",116,46.77032,6622
"2278",117,45.98349,6622
"2398",12,46.8684,6622
"3048",14,47.1199,6622
"3112",149,48.4878,6622
"3349",15,46.3908,6622
"4148",150,46.7897,6622
"4353",151,45.0293,6622
"4552",152,45.9669,6622
"4908",153,46.4628,6622
"5120",154,50.1999,6622
"5320",156,48.4883,6622
"5511",157,49.0058,6622
"5673",158,48.9331,6622
"5819",159,45.5438,6622
"6081",16,46.8707,6622
"7011",160,46.8771,6622
"7343",161,48.8312,6622
"7492",162,46.0009,6622
"7798",163,46.4171,6622
"8065",165,48.1079,6622
"8277",167,58.0519,6622
"8728",168,48.9416,6622
"8953",17,46.8893,6622
"9682",176,47.6532,6622
"9796",179,47.6028,6622
"9842",19,45.9644,6622
"10527",2,46.7941,6622
"10951",20,45.842,6622
"11789",21,45.859,6622
"12237",22,46.7112,6622
"12890",23,46.2502,6622
"13273",243,58.6102,6622
"13534",245,55.29361,6622
"13599",246,58.2094,6622
"13695",247,58.725,6622
"13751",248,50.2091,6622
"13869",249,49.1182,6622
"13941",25,46.9580212,6622
"14416",250,48.3614,6622
"14534",251,49.1025,6622
"14589",252,45.6009,6622
"14788",253,46.4001,6622
"14814",254,45.0221,6622
"15203",255,48.1453,6622
"15350",26,47.6666,6622
"15635",295,48.161222,6622
"15743",298,50.566885,6622
"15841",299,45.498803,6622
"16113",3,45.4599,6622
"16564",300,48.671302,6622
"16662",301,48.13669,6622
"16733",302,58.49218,6622
"17413",303,61.31273,6622
"17447",306,58.05353,6622
"18117",308,48.133559,6622
"18296",347,45.53705,6622
"18402",348,48.09452,6622
"18610",349,50.47872,6622
"18705",350,45.48906,6622
"18909",351,45.491864,6622
"19237",352,48.74358,6622
"19406",353,48.06593,6622
"19603",354,48.174275,6622
"19769",355,48.51008,6622
"19902",356,48.609284,6622
"20057",4,47.2572,6622
"20592",402,58.34586,6622
"20722",409,58.73103,6622
"20824",421,58.51624,6622
"21711",469,46.65899,6622
"22257",471,46.73117,6622
"22677",5,45.4475,6622
"23512",54,58.6462,6622
"23593",6,47.3074,6622
"23933",7,46.6722,6622
"24169",8,46.7822,6622
"24856",80,47.11482,6622
"24903",81,47.45812,6622
"25104",82,48.58128,6622
"25275",83,48.60374,6622
"25343",86,48.75369,6622
"25538",87,45.94943,6622
"25697",88,45.99009,6622
"26021",89,48.57194,6622
"26243",9,48.2163,6622
"26604",92,48.93663,6622
"26733",93,49.09023,6622
"26784",94,45.03285,6622
"27412",95,45.00642,6622
"28585",96,45.02227,6622
"29624",97,46.0535,6622
"29801",98,45.91049,6622
"30126",99,45.97675,6622
